"play_key","run_dist","OF_dist","run_speed","top_speed","OF_momentum_home","OF_momentum_side","score_chance","safe_out","go_safe_out","scoring_from","baserunners","next_baserunners","go_runners","stay_runners","outs","go_safe","go_out","stay","go_safe_RE","go_out_RE","stay_RE","prob_to_go","glm_safe","went_home","should_go","correct_decision","glm_go","safe_min_go","team","RE_diff"
"y1_d069_ACN_QEA_21",153.9558752,349.1699366,26.36973622,28.758956,-10.73703978,4.248526023,-1,NA,0,1,"1__","_23","__3","_23",1,"1 __3","2 __3","1 _23",1.462671577,0.183888889,0.923807468,0.578611664,0.448064040110167,0,0,1,0.267319212928415,0.180744827181752,NA,-0.166942041391781
"y1_d069_ACN_QEA_78",162.8306444,261.0871066,22.04743239,27.78769405,9.099479509,7.580787022,-1,NA,0,1,"1__","1_3","_2_","1_3",1,"1 _2_","2 _2_","1 1_3",1.425230807,0.176488184,0.873758154,0.558377649,0.00151531408449062,0,0,1,4.79548712283873e-05,0.00146735921326223,NA,-0.695377732715464
"y1_d071_ACN_QEA_107",95.81453707,389.3999047,29.46964041,29.4700328,-5.01894433,2.000697302,1,1,1,1,"1__","__3","__3","_23",1,"1 __3","2 __3","1 _23",1.462671577,0.183888889,0.923807468,0.578611664,0.999822762695385,1,1,1,0.999995452328529,-0.000172689633144651,"ACN",0.53863746100319
"y1_d071_ACN_QEA_165",170.938787,291.6655697,23.65872942,27.68761748,-4.408678236,14.80969498,-1,NA,0,1,"1__","_23","__3","_23",0,"0 __3","1 __3","0 _23",1.922201531,0.462671577,1.65,0.813500552,0.00781938080363807,0,0,1,0.000360476787448337,0.00745890401618973,"ACN",-1.17591580249536
"y1_d072_ACN_QEA_81",157.1169655,256.6582358,24.46819258,27.75355177,23.54109188,3.2156476,-1,NA,0,1,"12_","1_3","_2_","1_3",2,"2 _2_","3 _2_","2 1_3",1.176488184,0,0.541659233,0.460403462,0.00107309204263751,0,0,1,4.33918379235218e-05,0.00102970020471399,"QEA",-0.540396752891492
"y1_d052_APZ_QEA_152",149.6108392,217.4419255,27.01133208,28.3836773,12.30985605,6.80134601,-1,NA,0,1,"1__","1_3","_2_","1_3",2,"2 _2_","3 _2_","2 1_3",1.176488184,0,0.541659233,0.460403462,0.00225573417366226,0,0,1,6.49136973671047e-05,0.00219082047629516,"APZ",-0.539005388398441
"y1_d052_APZ_QEA_298",122.7148383,319.3921035,25.5798246,26.35623772,7.580575641,13.65742918,-1,NA,0,1,"1__","_23","__3","_23",1,"1 __3","2 __3","1 _23",1.462671577,0.183888889,0.923807468,0.578611664,0.837728935016313,0,1,0,0.734635052502968,0.103093882513345,"QEA",0.331354680335538
"y1_d052_APZ_QEA_387",140.6190182,215.9400193,24.32677965,25.0513375,9.501476536,0.129336156,-1,NA,0,1,"1__","1_3","_2_","1_3",1,"1 _2_","2 _2_","1 1_3",1.425230807,0.176488184,0.873758154,0.558377649,0.00334501208357011,0,0,1,3.80369942537585e-05,0.00330697508931635,"QEA",-0.693092910836796
"y1_d053_APZ_QEA_122",102.0181251,391.4980425,25.64072818,28.495261,-9.246043573,1.836387293,1,1,1,1,"1__","__3","__3","_23",2,"2 __3","3 __3","2 _23",1.183888889,0,0.633655395,0.535232149,0.999532984127731,1,1,1,0.999972227965993,-0.000439243838262326,"QEA",0.549680599097834
"y1_d053_APZ_QEA_199",149.345244,304.4530378,25.23597812,26.08024398,5.825688197,13.14072377,-1,NA,0,1,"1__","_23","__3","_23",0,"0 __3","1 __3","0 _23",1.922201531,0.462671577,1.65,0.813500552,0.093058722476727,0,0,1,0.0110571756803608,0.0820015467963663,"QEA",-1.05150643006424
