"play_key","run_dist","OF_dist","run_speed","top_speed","OF_momentum_home","OF_momentum_side","score_chance","safe_out","def_safe"
"y1_d071_ACN_QEA_107",95.81453707,389.3999047,29.46964041,29.4700328,-5.01894433,2.000697302,1,1,1
"y1_d053_APZ_QEA_122",102.0181251,391.4980425,25.64072818,28.495261,-9.246043573,1.836387293,1,1,1
"y1_d053_APZ_QEA_227",85.6451332,315.7710064,25.89982769,27.48435562,4.885470014,10.84878109,1,1,1
"y1_d054_APZ_QEA_163",168.0418472,335.17705,26.41714179,26.94013999,-29.05003582,0.2839425,1,1,1
"y1_d055_APZ_QEA_199",112.8825637,333.6892202,27.20673827,28.3617086,0.821166881,7.611389331,1,1,1
"y1_d001_CGA_QEA_108",131.8667285,351.4199894,26.52077171,29.16594428,-3.074556257,5.725604054,1,1,1
"y1_d004_CGA_QEA_160",129.8076839,350.3208229,25.23543113,30.18256023,4.737286068,15.35843935,1,1,1
"y1_d088_CRQ_QEA_271",112.5254247,387.3870816,27.395568,28.03242607,-3.744543614,4.44277539,1,1,1
"y1_d089_CRQ_QEA_50",139.6514572,359.0066051,23.97553601,26.75370602,1.074232321,0.511823448,0.9,1,0
"y1_d089_CRQ_QEA_220",119.5719766,383.1552165,24.71596398,25.78225356,-1.763706171,1.602872154,1,1,1
"y1_d079_FBP_QEA_89",124.0381611,383.1674685,27.43103464,29.60182529,-5.954723811,10.92724612,1,1,1
"y1_d081_FBP_QEA_68",96.76222014,247.7812214,26.77185393,29.69923423,11.09062531,7.193401615,1,1,1
"y1_d068_OWH_QEA_31",58.59433866,319.0986551,23.88484034,28.45321775,-6.060812336,3.636948961,1,1,1
"y1_d016_OXG_QEA_47",120.1447507,387.8529147,25.96272332,28.50933344,-4.689126825,2.095799154,1,1,1
"y1_d016_OXG_QEA_119",150.8976873,280.1889026,25.37204849,29.28588261,11.18242354,7.991646378,0,0,0
"y1_d019_OXG_QEA_319",112.0090544,344.9395845,25.78731609,25.81643699,-2.73929154,2.248909243,1,1,1
"y1_d056_OXG_QEA_64",107.5812577,378.4560488,24.72621959,25.76580136,-10.01455161,4.786057557,1,1,1
"y1_d057_OXG_QEA_21",140.1231461,386.4741088,25.63570221,26.63847785,-6.434137851,3.916549935,1,1,1
"y1_d057_OXG_QEA_169",136.7830391,348.6118349,23.83606385,25.09599133,-5.059169136,2.021529334,1,1,1
"y1_d057_OXG_QEA_245",95.89598939,297.7402952,23.95635952,26.27264056,-8.567741866,1.000676967,1,1,1
"y1_d057_OXG_QEA_261",93.98829779,346.1367801,23.98059662,25.26631118,3.442140027,8.957580249,1,1,1
"y1_d058_OXG_QEA_29",80.95235923,363.3038933,26.46831329,28.35927265,-3.485070004,5.672351688,1,1,1
"y1_d058_OXG_QEA_88",149.068424,344.7052534,26.6857333,28.48904107,-3.20074176,19.13549977,1,1,1
"y1_d031_REC_QEA_63",72.32457639,217.2913938,22.35841237,25.47694346,13.65268889,8.536876025,1,1,1
"y1_d031_REC_QEA_214",127.8054334,369.7205816,23.43831525,24.75999302,1.023360968,10.86614354,1,1,1
"y1_d033_REC_QEA_53",83.22813609,309.2774879,24.03075973,26.34276989,-5.127772215,1.462829419,1,1,1
"y1_d050_STK_QEA_145",103.8297862,375.2420724,26.77985834,26.80668143,-4.767204493,4.262823595,1,1,1
"y1_d043_WJU_QEA_31",141.530104,372.7231668,27.58074064,28.96029467,-15.268451,17.1575593,1,1,1
"y1_d043_WJU_QEA_277",147.9855006,327.2659372,23.96109793,26.83238906,-18.74394594,3.381399837,1,1,1
"y1_d046_WJU_QEA_47",142.2087493,371.0690978,24.77449593,26.91545051,-3.321161412,4.5222234,1,1,1
"y1_d096_XAX_QEA_82",93.31696812,369.9226849,27.20128941,27.20128941,-8.1369373,11.46755846,1,1,1
"y1_d096_XAX_QEA_251",130.5674582,378.5274308,25.00247631,27.44832648,-3.601213216,0.680130262,1,1,1
"y2_d001_BEJ_RZQ_41",101.1743267,301.1362839,28.87793747,29.83276525,7.981770611,7.679737312,1,1,1
"y2_d011_BVD_RZQ_154",86.48504598,295.5694475,26.44950179,27.6707711,-8.256891122,4.768987742,1,1,1
"y2_d011_BVD_RZQ_194",113.7609645,394.5691,26.40747874,30.57988461,1.018051569,4.786544123,1,1,1
"y2_d022_DMS_RZQ_50",104.5760673,303.3903735,25.81110937,26.22835959,1.818301053,11.77662873,1,1,1
"y1_d091_DYE_RZQ_12",149.7352835,395.922715,27.45570426,30.17314448,4.750464968,2.207657443,1,1,1
"y1_d091_DYE_RZQ_270",122.2072248,371.2281468,27.61401852,28.58160657,-10.21657751,7.251323837,1,1,1
"y1_d092_DYE_RZQ_268",113.9958745,277.5838232,25.94554044,28.18499119,3.573194384,0.529000086,0.2,0,0
"y2_d006_DYE_RZQ_132",109.3147258,303.4026203,25.9516925,27.41860706,2.154414219,9.454398591,1,1,1
"y2_d050_DYE_RZQ_66",81.13732185,338.7890623,29.98198375,31.1328854,-1.210919497,13.00243002,1,1,1
"y2_d050_DYE_RZQ_146",116.0195529,311.5277107,28.50709734,30.77507414,-1.203147859,2.150938639,1,1,1
"y2_d017_GIS_RZQ_186",117.7626636,298.2380581,28.30752071,28.36946799,-3.306360026,5.164892047,1,1,1
"y1_d063_HCI_RZQ_105",111.3226142,350.7315756,26.84462006,29.95445137,-2.117459409,11.10050042,1,1,1
"y2_d065_HKR_RZQ_78",102.0057383,304.4076616,27.36375556,28.03113166,-0.768685597,5.237056117,1,1,1
"y2_d067_HKR_RZQ_7",81.39328154,357.6521602,24.15412277,30.08008719,-5.920633277,7.525378175,1,1,1
"y2_d056_IAK_RZQ_138",102.8029842,305.3867066,27.69131389,29.27190223,0.170113461,0.854317418,1,1,1
"y2_d056_IAK_RZQ_233",121.0671318,347.1822224,29.1961494,30.65418533,-8.39024634,2.199203938,1,1,1
"y2_d057.5_IAK_RZQ_34",135.7974778,347.9084879,24.45658134,27.83301062,2.643766124,0.75516671,0.8,1,0
"y1_d025_JIL_RZQ_70",119.2693906,346.4269899,26.98949196,28.39360799,3.965989495,15.42573928,1,1,1
"y1_d025_JIL_RZQ_82",126.9322706,340.3497795,27.55168124,29.92944634,-0.911451717,8.036913933,1,1,1
"y1_d025_JIL_RZQ_187",119.0521671,362.4418125,26.15692326,28.00555386,-8.12510709,6.08158218,1,1,1
"y1_d027_JIL_RZQ_236",157.9074705,348.9808872,25.09806232,28.97316636,-15.17654518,5.787999082,0.3,0,0
"y1_d050_JZK_RZQ_114",114.2311679,290.9483105,26.68289153,29.36510392,-2.124239026,4.070579905,1,1,1
"y1_d050_JZK_RZQ_266",117.4922496,339.3039993,22.14654385,28.72349836,-2.302167077,6.732463115,1,1,1
"y1_d058_KJH_RZQ_18",132.989325,358.4782003,27.43728407,28.32711516,-10.95777814,7.946983285,1,1,1
"y1_d058_KJH_RZQ_308",136.3881284,364.4946079,27.2511666,29.98784805,-22.07880052,3.512162701,1,1,1
"y1_d006_MCJ_RZQ_322",155.3568894,322.6471839,24.7029178,26.94362448,-12.03227433,10.59890952,0,0,0
"y1_d008_MCJ_RZQ_19",123.5471068,326.204893,26.19933131,28.79623032,-5.080295602,7.601630941,1,1,1
"y2_d078_MGJ_RZQ_16",111.2942928,338.1300045,26.51033125,27.55193637,3.413777471,13.28417536,1,1,1
"y1_d046_MHY_RZQ_111",125.3526974,317.123441,27.8267616,29.74707784,1.076866004,0.184170383,1,1,1
"y1_d046_MHY_RZQ_155",144.4483132,380.2035546,25.70429502,30.31114091,-10.18223822,13.19783843,1,1,1
"y1_d046_MHY_RZQ_178",86.23161028,347.221222,26.17521136,28.18492582,-2.691095196,0.540975384,1,1,1
"y1_d048_MHY_RZQ_68",93.35983997,301.5414544,23.83205149,28.32436937,20.76708691,3.263570977,1,1,1
"y1_d073_PHS_RZQ_138",129.0401064,323.5143017,27.23995457,28.36582553,2.131698201,17.91215403,1,1,1
"y1_d073_PHS_RZQ_228",128.6372371,302.6366797,27.27964783,27.28274873,-3.460192347,8.332512591,1,1,1
"y2_d094_QZE_RZQ_91",76.77240688,371.9854609,24.70341805,29.3713185,8.161336539,9.28502133,1,1,1
"y2_d094_QZE_RZQ_238",125.1032617,363.4617923,25.43557798,25.8232282,8.051804135,5.588892128,1,1,1
"y2_d094_QZE_RZQ_262",116.4504998,292.7322508,25.65771276,30.46255519,-3.255852339,3.565430514,0.4,0,0
"y2_d094_QZE_RZQ_344",85.38836471,331.1097209,25.18635238,29.9377724,2.00821947,5.748381275,1,1,1
"y2_d068_RDO_RZQ_55",127.2064675,351.3648709,26.58266181,28.430505,-17.76164395,1.19586844,1,1,1
"y2_d069_RDO_RZQ_163",117.0138115,359.7152773,27.68468096,29.56719352,4.270329807,13.15894033,1,1,1
"y2_d009_TSZ_RZQ_56",103.879727,391.8749349,25.06071461,27.37084002,-6.943257776,0.765653927,1,1,1
"y1_d064_UEX_RZQ_30",102.6367632,359.6146589,29.49457346,30.66173185,-11.11436574,2.71757059,1,1,1
"y2_d036_UKI_RZQ_57",38.27609401,274.2601787,24.6907889,28.33852888,9.971371066,12.19496425,1,1,1
"y2_d037_UKI_RZQ_110",118.2909291,356.3912979,26.65483423,28.28797386,21.05685183,1.036055829,1,1,1
"y2_d038_UKI_RZQ_146",99.70624885,354.9228988,29.06246906,30.45172474,-7.83467443,2.910107788,1,1,1
"y1_d094_WNA_RZQ_317",136.4613879,333.8113022,26.18770869,28.30974631,-8.741165209,0.027456736,1,1,1
